scope,spoken_form,action,language_scope,lists_used,source
c:\program files (x86)\microsoft\edge\application\msedge.exe,dev tools, key(ctrl-shift-i),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,elements tab, key(ctrl-shift-c),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,console tab, key(ctrl-shift-j),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,sources tab, key(ctrl-shift-y),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,network tab, key(ctrl-shift-m),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,application tab, key(ctrl-shift-e),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,next panel, key(ctrl-]),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,previous panel, key(ctrl-[),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,toggle dock position, key(ctrl-shift-d),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,close dev tools, key(ctrl-shift-i),,,development_tools.talon
c:\program files (x86)\microsoft\edge\application\msedge.exe,settings, key(f1),,,development_tools.talon
command,^tabby,key(tab),,,dictation_mixed_modes.talon
command,^enter,key(enter),,,dictation_mixed_modes.talon
command,^command (return | enter)," mode.disable(""dictation"") mode.enable(""command"") sleep(100ms) key(enter)",,,dictation_mixed_modes.talon
command,^backspace,key(backspace),,,dictation_mixed_modes.talon
command,^delete,key(delete),,,dictation_mixed_modes.talon
command,^space,key(space),,,dictation_mixed_modes.talon
command,^go left,key(left),,,dictation_mixed_modes.talon
command,^go right,key(right),,,dictation_mixed_modes.talon
command,^go up,key(up),,,dictation_mixed_modes.talon
command,^go down,key(down),,,dictation_mixed_modes.talon
command,^backspace <user.ordinals_small>,"key(""backspace:{ordinals_small}"")",,,dictation_mixed_modes.talon
command,^delete <user.ordinals_small>,"key(""delete:{ordinals_small}"")",,,dictation_mixed_modes.talon
command,^go left <user.ordinals_small>,"key(""left:{ordinals_small}"")",,,dictation_mixed_modes.talon
command,^go right <user.ordinals_small>,"key(""right:{ordinals_small}"")",,,dictation_mixed_modes.talon
command,^go up <user.ordinals_small>,"key(""up:{ordinals_small}"")",,,dictation_mixed_modes.talon
